tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num,src_row_idx
1831,1742830355.282933,151,6,len4,5819,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3800,0.008591890335083008,5474,1.0,3799
3285,1742830316.360192,2202,6,len4,"1778,1779",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1218,0.0004620552062988281,5474,0.0,1217
2588,1742830371.7755961,543,6,len4,8240,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,5306,0.007527828216552734,5474,1.0,5305
2991,1742830307.784277,299,6,len4,886,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,634,0.0002160072326660156,5474,0.0,633
3553,1742830327.280072,184,6,len4,2534,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1753,1.0013580322265623e-05,5474,0.0,1752
4530,1742830354.671187,8111,6,len4,"5533,5534,5535,5536,5537,5538",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3584,0.0003440380096435547,5474,0.0,3583
5287,1742830368.855396,447,6,len4,7919,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,5103,0.00015592575073242188,5474,0.0,5102
3897,1742830340.9251142,206,6,len4,3831,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2322,2.598762512207031e-05,5474,0.0,2321
1678,1742830354.277381,183,6,len4,5415,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3488,0.008924007415771484,5474,1.0,3487
262,1742830307.333614,151,6,len4,699,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,523,0.017058134078979492,5474,1.0,522
644,1742830317.77855,660,6,len4,1885,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1297,0.004077911376953125,5474,1.0,1296
1865,1742830356.544141,689,6,len4,5914,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3868,0.009577035903930664,5474,1.0,3867
1304,1742830342.192411,170,6,len4,4340,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2737,0.004278898239135742,5474,1.0,2736
4641,1742830355.283027,183,6,len4,5820,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3801,9.393692016601562e-05,5474,0.0,3800
3180,1742830315.06883,402,6,len4,1492,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1010,6.794929504394531e-05,5474,0.0,1009
1989,1742830359.4197268,533,6,len4,6272,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4114,0.002444028854370117,5474,1.0,4113
5464,1742830372.7055,2016,6,len4,"8472,8473",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,5453,5.078315734863281e-05,5474,0.0,5452
91,1742830305.287442,151,6,len4,280,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,181,0.01019001007080078,5474,1.0,180
2071,1742830360.272703,21,6,len4,6572,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4275,9.79900360107422e-05,5474,1.0,4274
1119,1742830341.0280962,21,6,len4,3881,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2367,7.390975952148438e-05,5474,1.0,2366
5438,1742830372.51288,331,6,len4,8395,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,5402,0.00013017654418945312,5474,0.0,5401
5140,1742830365.0889199,2264,6,len4,"7395,7396",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4806,3.314018249511719e-05,5474,0.0,4805
1423,1742830352.182941,598,6,len4,4687,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2974,0.016089916229248047,5474,1.0,2973
75,1742830305.149923,568,6,len4,246,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,149,0.007155179977416992,5474,1.0,148
4724,1742830357.676786,311,6,len4,6068,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3969,0.00011801719665527344,5474,0.0,3968
2889,1742830307.066056,183,6,len4,609,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,436,6.604194641113281e-05,5474,0.0,435
406,1742830313.569166,170,6,len4,1196,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,819,0.021242856979370117,5474,1.0,818
1368,1742830347.712692,683,6,len4,4510,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2865,0.0028519630432128906,5474,1.0,2864
350,1742830308.565532,2202,6,len4,"1012,1013",10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,707,0.017559051513671875,5474,1.0,706
1579,1742830353.695999,545,6,len4,5132,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3284,0.006285905838012695,5474,1.0,3283
5071,1742830362.5100381,213,6,len4,7146,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4669,5.078315734863281e-05,5474,0.0,4668
3417,1742830324.542634,161,6,len4,2133,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1482,1.6927719116210938e-05,5474,0.0,1481
5251,1742830368.354128,2851,6,len4,"7807,7808",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,5031,1.5974044799804688e-05,5474,0.0,5030
650,1742830317.811305,569,6,len4,1900,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1309,0.003457069396972656,5474,1.0,1308
1283,1742830342.102666,588,6,len4,4282,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2695,0.009677886962890623,5474,1.0,2694
2835,1742830305.794204,317,6,len4,473,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,328,0.0011799335479736328,5474,0.0,327
743,1742830324.552058,164,6,len4,2146,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1495,0.008959054946899414,5474,1.0,1494
1523,1742830353.1799679,657,6,len4,4979,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3172,0.004698038101196289,5474,1.0,3171
3245,1742830315.737842,2145,6,len4,"1674,1675",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1138,0.003551006317138672,5474,0.0,1137
4754,1742830358.195796,2851,6,len4,"6150,6151",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4029,0.0001499652862548828,5474,0.0,4028
2293,1742830362.711314,1336,6,len4,7219,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4717,0.007261037826538086,5474,1.0,4716
1117,1742830341.027876,21,6,len4,3877,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,2363,7.390975952148438e-05,5474,1.0,2362
5392,1742830371.809408,331,6,len4,8245,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,5311,0.0002000331878662109,5474,0.0,5310
202,1742830306.402272,175,6,len4,565,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,403,0.009686946868896484,5474,1.0,402
5169,1742830365.1154802,3090,6,len4,"7532,7533,7534",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4864,4.100799560546875e-05,5474,0.0,4863
2520,1742830370.096923,1199,6,len4,8005,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,5168,0.04059815406799317,5474,1.0,5167
4422,1742830353.943619,416,6,len4,5253,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3371,4.0531158447265625e-06,5474,0.0,3370
5062,1742830362.429461,1120,6,len4,7128,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4651,0.0008459091186523438,5474,0.0,4650
2848,1742830306.303611,183,6,len4,507,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,354,7.605552673339844e-05,5474,0.0,353
5099,1742830362.775159,460,6,len4,7229,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4724,0.00019979476928710935,5474,0.0,4723
1836,1742830356.236356,151,6,len4,5832,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3810,0.009202957153320312,5474,1.0,3809
2887,1742830307.0588448,183,6,len4,603,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,432,5.698204040527344e-05,5474,0.0,431
2696,1742830303.433585,598,6,len4,101,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,50,0.00021982192993164065,5474,0.0,49
4364,1742830353.4634259,374,6,len4,5101,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3259,7.009506225585938e-05,5474,0.0,3258
4880,1742830360.2823849,1344,6,len4,6581,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4284,0.00017213821411132812,5474,0.0,4283
424,1742830314.299873,591,6,len4,1250,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,855,0.007934093475341797,5474,1.0,854
3581,1742830327.4231,332,6,len4,2605,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1809,0.0003590583801269531,5474,0.0,1808
1673,1742830354.2427402,576,6,len4,5405,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3478,0.0005919933319091798,5474,1.0,3477
429,1742830314.329138,531,6,len4,1262,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,865,0.012369155883789062,5474,1.0,864
2554,1742830371.341568,544,6,len4,8139,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,5238,0.007786989212036133,5474,1.0,5237
3495,1742830326.959435,2608,6,len4,"2355,2356",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1638,0.0004858970642089844,5474,0.0,1637
4486,1742830354.303776,3948,6,len4,"5431,5432,5433",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3496,0.00047898292541503917,5474,0.0,3495
2604,1742830372.037462,565,6,len4,8300,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,5339,0.01758599281311035,5474,1.0,5338
931,1742830328.985378,531,6,len4,2700,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,1872,0.6121261119842529,5474,1.0,1871
299,1742830307.647451,607,6,len4,828,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,603,0.005256891250610352,5474,1.0,602
2391,1742830367.364808,185,6,len4,7621,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4913,0.07899904251098633,5474,1.0,4912
1687,1742830354.380267,598,6,len4,5445,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3507,0.00907588005065918,5474,1.0,3506
2137,1742830360.3943632,168,6,len4,6704,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4407,0.00998997688293457,5474,1.0,4406
234,1742830307.1322029,170,6,len4,640,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,467,0.004783153533935547,5474,1.0,466
2086,1742830360.293448,21,6,len4,6602,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,4305,6.389617919921875e-05,5474,1.0,4304
4890,1742830360.293384,244,6,len4,6601,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,4304,2.5033950805664066e-05,5474,0.0,4303
4457,1742830354.136234,583,6,len4,5352,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3439,0.0001239776611328125,5474,0.0,3438
3269,1742830316.197534,107,6,len4,1738,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1186,7.700920104980469e-05,5474,0.0,1185
1874,1742830356.6516962,455,6,len4,5936,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3886,0.0018968582153320312,5474,1.0,3885
3900,1742830340.925383,142,6,len4,3837,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2328,2.002716064453125e-05,5474,0.0,2327
4647,1742830356.2378778,2241,6,len4,"5835,5836",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3813,0.0004901885986328125,5474,0.0,3812
3898,1742830340.9252038,172,6,len4,3833,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2324,2.312660217285156e-05,5474,0.0,2323
4678,1742830356.565543,288,6,len4,5921,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,3875,0.000247955322265625,5474,0.0,3874
3500,1742830326.9876812,2755,6,len4,"2374,2375",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1648,0.0006589889526367188,5474,0.0,1647
1729,1742830354.703642,170,6,len4,5551,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,3592,0.0005068778991699219,5474,1.0,3591
2555,1742830371.350777,543,6,len4,8141,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,5240,0.009018898010253906,5474,1.0,5239
320,1742830308.3172288,164,6,len4,903,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,645,0.10691595077514647,5474,1.0,644
3540,1742830327.238968,4085,6,len4,"2499,2500,2501",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,1728,0.0017638206481933594,5474,0.0,1727
4009,1742830341.19797,635,6,len4,4063,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,2546,0.0007889270782470702,5474,0.0,2545
